title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Houston,TX,77036,"$350,000","6 bds, 5.0 ba ,3000 sqft",LSK & Associates,https://www.zillow.com/homedetails/7403-Lacy-Hill-Dr-Houston-TX-77036/28072172_zpid/
House for sale,,Houston,TX,77036,"$285,000","4 bds, 2.0 ba ,2151 sqft",RE/MAX Executives,https://www.zillow.com/homedetails/8215-Hazen-St-Houston-TX-77036/28071376_zpid/
Condo for sale,,Houston,TX,77036,"$125,000","2 bds, 2.0 ba ,1109 sqft",RE/MAX Fine Properties,https://www.zillow.com/homedetails/7520-Hornwood-Dr-APT-1205-Houston-TX-77036/2079304401_zpid/
House for sale,,Houston,TX,77036,"$249,900","5 bds, 4.0 ba ,2276 sqft",Future Star Realty,https://www.zillow.com/homedetails/9214-Rowan-Ln-Houston-TX-77036/28071782_zpid/
House for sale,,Houston,TX,77036,"$229,900","3 bds, 2.0 ba ,1752 sqft",Showplace Real Estate,https://www.zillow.com/homedetails/8202-Concho-St-Houston-TX-77036/28071251_zpid/
House for sale,,Houston,TX,77036,"$229,000","3 bds, 2.0 ba ,1656 sqft","The Real Estate People, LLC",https://www.zillow.com/homedetails/7731-Kensico-Rd-Houston-TX-77036/28070958_zpid/
Townhouse for sale,,Houston,TX,77036,"$64,990","2 bds, 2.0 ba ,1062 sqft","Congress Realty, Inc.",https://www.zillow.com/homedetails/10203-Forum-Park-Dr-APT-209-Houston-TX-77036/2079400978_zpid/
House for sale,,Houston,TX,77036,"$212,000","3 bds, 2.0 ba ,1660 sqft",Walzel Properties,https://www.zillow.com/homedetails/7418-Pella-Dr-Houston-TX-77036/28072184_zpid/
House for sale,,Houston,TX,77036,"$319,900","4 bds, 3.0 ba ,2239 sqft",Realty Associates,https://www.zillow.com/homedetails/8315-Bellaire-Blvd-Houston-TX-77036/28043743_zpid/
Townhouse for sale,,Houston,TX,77036,"$65,000","2 bds, 3.0 ba ,1312 sqft","eXp Realty, LLC",https://www.zillow.com/homedetails/9350-Country-Creek-Dr-APT-10-Houston-TX-77036/2087457034_zpid/
Townhouse for sale,,Houston,TX,77036,"$62,000","2 bds, 2.0 ba ,1164 sqft","eXp Realty, LLC",https://www.zillow.com/homedetails/10211-Sugar-Branch-Dr-APT-334-Houston-TX-77036/28419650_zpid/
Townhouse for sale,,Houston,TX,77036,"$89,900","2 bds, 2.0 ba ,1023 sqft",Flex Team Realty,https://www.zillow.com/homedetails/8301-Sands-Point-Dr-Houston-TX-77036/2083564686_zpid/
Townhouse for sale,,Houston,TX,77036,"$125,000","2 bds, 2.0 ba ,1250 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/9201-Clarewood-Dr-APT-16-Houston-TX-77036/28515586_zpid/
House for sale,,Houston,TX,77036,"$195,000","3 bds, 2.0 ba ,1660 sqft",Tasek Realty,https://www.zillow.com/homedetails/8203-Augustine-Dr-Houston-TX-77036/28073095_zpid/
House for sale,,Houston,TX,77036,"$189,500","3 bds, 2.0 ba ,1630 sqft",Walzel Properties,https://www.zillow.com/homedetails/10210-Pebble-Park-Ln-Houston-TX-77036/28316668_zpid/
Townhouse for sale,,Houston,TX,77036,"$38,000","2 bds, 2.0 ba ,1266 sqft",Champions Real Estate Group,https://www.zillow.com/homedetails/10110-Forum-Park-Dr-APT-242-Houston-TX-77036/28348070_zpid/
Townhouse for sale,,Houston,TX,77036,"$60,000","1 bds, 1.0 ba ,616 sqft",Primark Realty,https://www.zillow.com/homedetails/6315-Fondren-Rd-APT-B-Houston-TX-77036/2097958736_zpid/
Condo for sale,,Houston,TX,77036,"$149,499","3 bds, 2.0 ba ,1109 sqft",Confidant Realty Advisors LLC,https://www.zillow.com/homedetails/7510-Hornwood-Dr-APT-205-Houston-TX-77036/28348555_zpid/
