title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Houston,TX,77031,"$217,500","3 bds, 2.0 ba ,1845 sqft",Texas Premier Realty,https://www.zillow.com/homedetails/9519-W-Airport-Blvd-Houston-TX-77031/28248041_zpid/
House for sale,,Houston,TX,77031,"$850,000","4 bds, 4.0 ba ,4318 sqft",Better Homes and Gardens Real Estate Gary Greene,https://www.zillow.com/homedetails/12103-Dover-St-Houston-TX-77031/84066218_zpid/
House for sale,,Houston,TX,77031,"$174,995","3 bds, 2.0 ba ,1792 sqft",Keller Williams Professionals,https://www.zillow.com/homedetails/12426-Copperfield-Dr-Houston-TX-77031/28198324_zpid/
House for sale,,Houston,TX,77031,"$235,000","4 bds, 2.0 ba ,2164 sqft","CB & A, Realtors",https://www.zillow.com/homedetails/12110-Manorgate-Dr-Houston-TX-77031/28196433_zpid/
House for sale,,Houston,TX,77031,"$190,000","4 bds, 2.0 ba ,1885 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/9206-Tooley-Dr-Houston-TX-77031/28140555_zpid/
Lot / Land for sale,,Houston,TX,77031,"$450,000","None bds, None ba ,None sqft",REALM Real Estate Professional,https://www.zillow.com/homedetails/0-Bedford-St-Houston-TX-77031/2102017121_zpid/
House for sale,,Houston,TX,77031,"$150,000","3 bds, 2.0 ba ,1662 sqft",Hampton Realty Group,https://www.zillow.com/homedetails/12431-Millbanks-Dr-Houston-TX-77031/28189748_zpid/
House for sale,,Houston,TX,77031,"$299,900","4 bds, 3.0 ba ,2436 sqft",Winhill Advisors - Kirby,https://www.zillow.com/homedetails/8914-Haverstock-Dr-Houston-TX-77031/28189557_zpid/
House for sale,,Houston,TX,77031,"$196,900","4 bds, 3.0 ba ,2024 sqft",Mark Dimas Properties,https://www.zillow.com/homedetails/12226-Chessington-Dr-Houston-TX-77031/28176762_zpid/
Lot / Land for sale,,Houston,TX,77031,"$619,900","0 bds, None ba ,None sqft","BlueRoof Real Estate, LLC",https://www.zillow.com/homedetails/9241-W-Bellfort-St-Houston-TX-77031/2104650655_zpid/
House for sale,,Houston,TX,77031,"$170,000","3 bds, 3.0 ba ,1320 sqft",Walzel Properties,https://www.zillow.com/homedetails/8709-Torcello-St-Houston-TX-77031/251173529_zpid/
