title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo for sale,,Houston,TX,77098,"$575,000","3 bds, 4.0 ba ,2212 sqft",RE/MAX Metro,https://www.zillow.com/homedetails/2719-Kipling-St-APT-E-Houston-TX-77098/2079236559_zpid/
House for sale,,Houston,TX,77098,"$695,000","2 bds, 2.0 ba ,1360 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/2126-W-Main-St-Houston-TX-77098/27857884_zpid/
Townhouse for sale,,Houston,TX,77098,"$575,000","3 bds, 4.0 ba ,2212 sqft",RE/MAX Metro,https://www.zillow.com/homedetails/2719-Kipling-St-Houston-TX-77098/58667793_zpid/
Townhouse for sale,,Houston,TX,77098,"$738,000","4 bds, 5.0 ba ,3013 sqft",Turbo Realty of Texas,https://www.zillow.com/homedetails/2414-W-Main-St-Houston-TX-77098/28544775_zpid/
Townhouse for sale,,Houston,TX,77098,"$379,000","2 bds, 3.0 ba ,1423 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/1902-Portsmouth-St-Houston-TX-77098/27830458_zpid/
House for sale,,Houston,TX,77098,"$1,400,000","3 bds, 4.0 ba ,2635 sqft",New Leaf Real Estate,https://www.zillow.com/homedetails/2236-Colquitt-St-Houston-TX-77098/27887145_zpid/
House for sale,,Houston,TX,77098,"$1,849,000","4 bds, 5.0 ba ,4398 sqft","Southern Prime Realty, Inc.",https://www.zillow.com/homedetails/1923-Norfolk-St-Houston-TX-77098/27830504_zpid/
Condo for sale,,Houston,TX,77098,"$1,045,000","2 bds, 2.0 ba ,1798 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/2727-Kirby-Dr-APT-10-B-Houston-TX-77098/97622365_zpid/
Condo for sale,,Houston,TX,77098,"$1,200,000","2 bds, 2.0 ba ,2000 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/2727-Kirby-Dr-APT-12C-Houston-TX-77098/97652347_zpid/
House for sale,,Houston,TX,77098,"$675,000","3 bds, 4.0 ba ,2345 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/2415-Bartlett-St-Houston-TX-77098/58668404_zpid/
Condo for sale,,Houston,TX,77098,"$1,895,000","2 bds, 3.0 ba ,2987 sqft",Douglas Elliman,https://www.zillow.com/homedetails/2727-Kirby-Dr-APT-21F-Houston-TX-77098/97639492_zpid/
