title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Houston,TX,77099,"$149,900","3 bds, 3.0 ba ,1568 sqft",Keller Williams Realty -SW,https://www.zillow.com/homedetails/10347-Panther-Point-Dr-Houston-TX-77099/68411057_zpid/
House for sale,,Houston,TX,77099,"$165,000","4 bds, 2.0 ba ,1761 sqft","eXp Realty, LLC",https://www.zillow.com/homedetails/10926-W-Bellfort-Ave-Houston-TX-77099/28128800_zpid/
Townhouse for sale,,Houston,TX,77099,"$132,000","2 bds, 3.0 ba ,1328 sqft",PY Realty Co,https://www.zillow.com/homedetails/10341-Huntington-Place-Dr-341-Houston-TX-77099/28190998_zpid/
House for sale,,Houston,TX,77099,"$200,000","3 bds, 3.0 ba ,1987 sqft",Realty Associates,https://www.zillow.com/homedetails/10904-Panther-Ct-Houston-TX-77099/70306961_zpid/
House for sale,,Houston,TX,77099,"$209,500","3 bds, 2.0 ba ,2212 sqft",MDK Realty Associates,https://www.zillow.com/homedetails/12126-Longbrook-Dr-Houston-TX-77099/28170904_zpid/
Townhouse for sale,,Houston,TX,77099,"$75,000","2 bds, 2.0 ba ,1068 sqft",NB Elite Realty,https://www.zillow.com/homedetails/9700-Leawood-Blvd-APT-1803-Houston-TX-77099/28453725_zpid/
Lot / Land for sale,,Houston,TX,77099,"$70,000","3 bds, None ba ,1653 sqft",Champions Real Estate Group,https://www.zillow.com/homedetails/13103-Balarama-Dr-Houston-TX-77099/28277806_zpid/
Townhouse for sale,,Houston,TX,77099,"$65,000","2 bds, 2.0 ba ,1068 sqft",Champions Real Estate Group,https://www.zillow.com/homedetails/9797-Leawood-Blvd-APT-902-Houston-TX-77099/28467938_zpid/
House for sale,,Houston,TX,77099,"$172,000","3 bds, 2.0 ba ,2340 sqft",Realty Associates,https://www.zillow.com/homedetails/13014-Bassford-Dr-Houston-TX-77099/28277860_zpid/
House for sale,,Houston,TX,77099,"$229,990","5 bds, 3.0 ba ,2534 sqft","Alpha, REALTORS",https://www.zillow.com/homedetails/12307-Magnolia-Cyn-Houston-TX-77099/70315106_zpid/
