title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo for sale,,Houston,TX,77046,"$939,000","2 bds, 3.0 ba ,2701 sqft",Douglas Elliman,https://www.zillow.com/homedetails/14-Greenway-Plz-30F-Houston-TX-77046/28413436_zpid/
Condo for sale,,Houston,TX,77046,"$879,000","2 bds, 3.0 ba ,3017 sqft",Wilkens & Associates,https://www.zillow.com/homedetails/14-Greenway-Plz-PENTHOUSE-28E-Houston-TX-77046/28413427_zpid/
Condo for sale,,Houston,TX,77046,"$725,000","2 bds, 2.0 ba ,2230 sqft",Douglas Elliman,https://www.zillow.com/homedetails/15-Greenway-Plz-PENTHOUSE-27D-Houston-TX-77046/28413244_zpid/
Condo for sale,,Houston,TX,77046,"$225,000","1 bds, 1.0 ba ,1026 sqft",Jackie Behrendt,https://www.zillow.com/homedetails/14-Greenway-Plz-UNIT-18L-Houston-TX-77046/28413371_zpid/
Condo for sale,,Houston,TX,77046,"$689,000","2 bds, 3.0 ba ,2701 sqft",Douglas Elliman,https://www.zillow.com/homedetails/14-Greenway-Plz-29F-Houston-TX-77046/28413432_zpid/
Condo for sale,,Houston,TX,77046,"$295,000","2 bds, 2.0 ba ,1391 sqft",Keller Williams Premier Realty,https://www.zillow.com/homedetails/14-Greenway-Plz-11-0-Houston-TX-77046/2080696175_zpid/
Condo for sale,,Houston,TX,77046,"$235,000","1 bds, 1.0 ba ,1026 sqft",Beth Wolff REALTORS® Real Living,https://www.zillow.com/homedetails/15-Greenway-Plz-UNIT-5A-Houston-TX-77046/28413089_zpid/
Condo for sale,,Houston,TX,77046,"$725,000","2 bds, 2.0 ba ,2230 sqft",Douglas Elliman Real Estate,https://www.zillow.com/homedetails/15-Greenway-Plz-PH-27D-Houston-TX-77046/2081407836_zpid/
Condo for sale,,Houston,TX,77046,"$489,900","3 bds, 2.0 ba ,1937 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/15-Greenway-Plz-UNIT-6G-Houston-TX-77046/28413102_zpid/
Condo for sale,,Houston,TX,77046,"$235,000","1 bds, 1.0 ba ,1026 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/15-Greenway-Plz-UNIT-14A-Houston-TX-77046/28413152_zpid/
Condo for sale,,Houston,TX,77046,"$939,000","2 bds, 3.0 ba ,2701 sqft",Douglas Elliman Real Estate,https://www.zillow.com/homedetails/14-Greenway-Plz-PH-30F-Houston-TX-77046/2093928834_zpid/
Condo for sale,,Houston,TX,77046,"$330,000","2 bds, 2.0 ba ,1569 sqft",RE/MAX Fine Properties,https://www.zillow.com/homedetails/14-Greenway-Plz-UNIT-16P-Houston-TX-77046/28413362_zpid/
Condo for sale,,Houston,TX,77046,"$435,000","3 bds, 2.0 ba ,1937 sqft",Champions Real Estate Group,https://www.zillow.com/homedetails/14-Greenway-Plz-UNIT-4R-Houston-TX-77046/28413281_zpid/
Condo for sale,,Houston,TX,77046,"$219,000","2 bds, 2.0 ba ,1080 sqft",Douglas Elliman,https://www.zillow.com/homedetails/14-Greenway-Plz-UNIT-16M-Houston-TX-77046/28413359_zpid/
Condo for sale,,Houston,TX,77046,"$249,000","1 bds, 1.0 ba ,1026 sqft",RE/MAX Vintage,https://www.zillow.com/homedetails/15-Greenway-Plz-UNIT-19A-Houston-TX-77046/28413187_zpid/
Condo for sale,,Houston,TX,77046,"$199,999","1 bds, 1.0 ba ,1026 sqft",Champions Real Estate Group,https://www.zillow.com/homedetails/14-Greenway-Plz-UNIT-4L-Houston-TX-77046/28413275_zpid/
Condo for sale,,Houston,TX,77046,"$230,000","2 bds, 2.0 ba ,1080 sqft",REALM Real Estate Professional,https://www.zillow.com/homedetails/15-Greenway-Plz-UNIT-11B-Houston-TX-77046/28413132_zpid/
Condo for sale,,Houston,TX,77046,"$300,000","2 bds, 2.0 ba ,1391 sqft",David Malev,https://www.zillow.com/homedetails/15-Greenway-Plz-UNIT-11D-Houston-TX-77046/28413134_zpid/
