title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,West University Place,TX,77005,"$1,335,000","4 bds, 5.0 ba ,3943 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/4208-Oberlin-St-West-University-Place-TX-77005/2143852806_zpid/
House for sale,,Houston,TX,77005,"$1,400,000","3 bds, 3.0 ba ,2702 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/3602-University-Blvd-Houston-TX-77005/27822422_zpid/
House for sale,,Houston,TX,77005,"$1,085,000","4 bds, 4.0 ba ,4127 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/1700-Sunset-Blvd-A-Houston-TX-77005/89641671_zpid/
House for sale,,Houston,TX,77005,"$1,110,000","4 bds, 4.0 ba ,2958 sqft",NB Elite Realty,https://www.zillow.com/homedetails/3814-Southwestern-St-Houston-TX-77005/27823247_zpid/
New construction,,Houston,TX,77005,"$3,995,000","5 bds, 7.0 ba ,7283 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/6320-Vanderbilt-St-Houston-TX-77005/27791867_zpid/
House for sale,,Houston,TX,77005,"$748,500","3 bds, 3.0 ba ,2202 sqft",J. Carter Breed Properties,https://www.zillow.com/homedetails/2418-Albans-Rd-Houston-TX-77005/27786578_zpid/
House for sale,,Houston,TX,77005,"$939,000","4 bds, 3.0 ba ,2512 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/4219-Albans-St-Houston-TX-77005/27825903_zpid/
Townhouse for sale,,Houston,TX,77005,"$699,000","3 bds, 3.0 ba ,2404 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/4001-Browning-St-Houston-TX-77005/52417477_zpid/
House for sale,,Houston,TX,77005,"$1,585,000","4 bds, 4.0 ba ,3574 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/6332-Rutgers-Ave-Houston-TX-77005/27791975_zpid/
House for sale,,Houston,TX,77005,"$1,575,000","4 bds, 4.0 ba ,4050 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/2103-Bolsover-St-Houston-TX-77005/27819257_zpid/
House for sale,,Houston,TX,77005,"$3,999,500","5 bds, 7.0 ba ,6100 sqft",Douglas Elliman,https://www.zillow.com/homedetails/3424-Sunset-Blvd-Houston-TX-77005/27822822_zpid/
House for sale,,Houston,TX,77005,"$5,499,000","6 bds, 9.0 ba ,8630 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/3219-University-Blvd-Houston-TX-77005/97640410_zpid/
House for sale,,Houston,TX,77005,"$2,749,000","4 bds, 6.0 ba ,5480 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/3759-Ingold-St-Houston-TX-77005/27826926_zpid/
House for sale,,Houston,TX,77005,"$1,249,000","4 bds, 4.0 ba ,2516 sqft",Greenwood King Properties,https://www.zillow.com/homedetails/5712-Buffalo-Speedway-Houston-TX-77005/27822676_zpid/
New construction,,Houston,TX,77005,"$2,800,000","4 bds, 5.0 ba ,5220 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/2604-University-Blvd-Houston-TX-77005/27830950_zpid/
Condo for sale,,Houston,TX,77005,"$399,000","2 bds, 3.0 ba ,2111 sqft",RE/MAX Integrity,https://www.zillow.com/homedetails/2520-Robinhood-St-APT-1012-Houston-TX-77005/62566365_zpid/
House for sale,,Houston,TX,77005,"$2,025,000","4 bds, 5.0 ba ,4084 sqft",Greenwood King Properties,https://www.zillow.com/homedetails/2724-Nottingham-St-Houston-TX-77005/27914070_zpid/
Lot / Land for sale,,Houston,TX,77005,"$800,000","3 bds, None ba ,1686 sqft",One2Three Realty,https://www.zillow.com/homedetails/3923-Villanova-St-Houston-TX-77005/27823216_zpid/
House for sale,,Houston,TX,77005,"$1,100,000","3 bds, 3.0 ba ,2614 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/4107-Milton-St-Houston-TX-77005/27841528_zpid/
House for sale,,Houston,TX,77005,"$1,479,000","4 bds, 4.0 ba ,3126 sqft",Winhill Advisors - Kirby,https://www.zillow.com/homedetails/3743-Carlon-St-Houston-TX-77005/27826733_zpid/
New construction,,Houston,TX,77005,"$2,099,000","5 bds, 6.0 ba ,4271 sqft",The Tavor Company,https://www.zillow.com/homedetails/2618-Arbuckle-St-Houston-TX-77005/27812112_zpid/
House for sale,,Houston,TX,77005,"$1,240,000","5 bds, 5.0 ba ,3542 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/3922-Oberlin-St-Houston-TX-77005/27823349_zpid/
House for sale,,Houston,TX,77005,"$989,000","3 bds, 2.0 ba ,2273 sqft","Kemet Properties, Inc.",https://www.zillow.com/homedetails/2216-Quenby-St-Houston-TX-77005/27819548_zpid/
Townhouse for sale,,Houston,TX,77005,"$228,000","2 bds, 2.0 ba ,1042 sqft",Forever Realty,https://www.zillow.com/homedetails/4041-Law-St-APT-511-Houston-TX-77005/68417762_zpid/
New construction,,Houston,TX,77005,"$1,790,000","4 bds, 5.0 ba ,3856 sqft",Oakington Realty,https://www.zillow.com/homedetails/2731-Pittsburgh-St-Houston-TX-77005/27843736_zpid/
New construction,,Houston,TX,77005,"$1,995,000","5 bds, 6.0 ba ,4330 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/4115-Oberlin-St-Houston-TX-77005/27841642_zpid/
House for sale,,Houston,TX,77005,"$3,000,000","3 bds, 6.0 ba ,5775 sqft",Raymond P. Ruiz,https://www.zillow.com/homedetails/2616-Quenby-Ave-Houston-TX-77005/27914092_zpid/
House for sale,,Houston,TX,77005,"$1,650,000","4 bds, 4.0 ba ,4717 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/3724-Wroxton-Rd-Houston-TX-77005/27885303_zpid/
House for sale,,Houston,TX,77005,"$1,899,000","4 bds, 4.0 ba ,4220 sqft","Bernstein Realty, Inc.",https://www.zillow.com/homedetails/2626-Arbuckle-St-Houston-TX-77005/27812114_zpid/
New construction,,Houston,TX,77005,"$1,799,000","4 bds, 5.0 ba ,4067 sqft",Cambridge Properties,https://www.zillow.com/homedetails/4009-Milton-St-Houston-TX-77005/27892317_zpid/
House for sale,,Houston,TX,77005,"$1,595,000","5 bds, 5.0 ba ,4004 sqft",Greenwood King Properties,https://www.zillow.com/homedetails/3324-Pittsburgh-St-Houston-TX-77005/27792117_zpid/
House for sale,,Houston,TX,77005,"$1,075,000","4 bds, 4.0 ba ,2870 sqft",Redfin Corporation,https://www.zillow.com/homedetails/4230-Marquette-St-Houston-TX-77005/27841235_zpid/
House for sale,,Houston,TX,77005,"$1,079,000","4 bds, 4.0 ba ,3148 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/4254-Lehigh-Ave-Houston-TX-77005/84022118_zpid/
House for sale,,Houston,TX,77005,"$1,229,000","4 bds, 4.0 ba ,3343 sqft",Greenwood King Properties,https://www.zillow.com/homedetails/4211-Tennyson-St-Houston-TX-77005/27841391_zpid/
Townhouse for sale,,Houston,TX,77005,"$135,000","1 bds, 1.0 ba ,570 sqft",Homesource Investments Group,https://www.zillow.com/homedetails/4041-Drake-St-APT-124-Houston-TX-77005/68417718_zpid/
House for sale,,Houston,TX,77005,"$2,275,000","4 bds, 4.0 ba ,4416 sqft",Better Homes and Gardens Real Estate Gary Greene,https://www.zillow.com/homedetails/3011-Amherst-St-Houston-TX-77005/27841134_zpid/
House for sale,,Houston,TX,77005,"$979,900","4 bds, 4.0 ba ,3114 sqft","eXp Realty, LLC",https://www.zillow.com/homedetails/6408-Buffalo-Speedway-Houston-TX-77005/27792122_zpid/
House for sale,,Houston,TX,77005,"$1,385,000","3 bds, 3.0 ba ,2720 sqft",Roger Martin Properties,https://www.zillow.com/homedetails/6534-Westchester-Ave-Houston-TX-77005/27792196_zpid/
House for sale,,Houston,TX,77005,"$689,000","2 bds, 1.0 ba ,1344 sqft",Better Homes and Gardens Real Estate Gary Greene,https://www.zillow.com/homedetails/4002-Milton-St-Houston-TX-77005/27892337_zpid/
House for sale,,Houston,TX,77005,"$1,599,000","4 bds, 5.0 ba ,5125 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/2124-Quenby-St-Houston-TX-77005/2079729128_zpid/
