title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Houston,TX,77085,"$169,000","3 bds, 2.0 ba ,1808 sqft","HH Premier Realty, LLC",https://www.zillow.com/homedetails/6123-Bridlington-St-Houston-TX-77085/28070055_zpid/
House for sale,,Houston,TX,77085,"$295,000","4 bds, 4.0 ba ,3185 sqft","Listing Results, LLC",https://www.zillow.com/homedetails/6622-Keats-St-Houston-TX-77085/27607597_zpid/
House for sale,,Houston,TX,77085,"$179,000","3 bds, 2.0 ba ,1512 sqft",Listing Spark,https://www.zillow.com/homedetails/6115-Sheringham-St-Houston-TX-77085/28070075_zpid/
For sale by owner,,Houston,TX,77085,"$205,000","4 bds, 3.0 ba ,2146 sqft",,https://www.zillow.com/homedetails/5603-Post-Oak-Manor-Dr-Houston-TX-77085/97645112_zpid/
House for sale,,Houston,TX,77085,"$152,000","3 bds, 2.0 ba ,1620 sqft",Keller Williams Realty -SW,https://www.zillow.com/homedetails/5911-Heatherbrook-Dr-Houston-TX-77085/28058413_zpid/
House for sale,,Houston,TX,77085,"$169,900","3 bds, 2.0 ba ,1350 sqft",Citiwide Alliance Realty,https://www.zillow.com/homedetails/6215-S-Greenwick-Loop-Houston-TX-77085/55480159_zpid/
Lot / Land for sale,,Houston,TX,77085,"$445,000","None bds, None ba ,None sqft",TUXOR REALTY,https://www.zillow.com/homedetails/5735-Grapevine-St-Houston-TX-77085/2087572407_zpid/
House for sale,,Houston,TX,77085,"$140,000","4 bds, 1.0 ba ,1380 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/5503-Lotus-St-Houston-TX-77085/28007377_zpid/
Lot / Land for sale,,Houston,TX,77085,"$230,000","None bds, None ba ,None sqft",RE/MAX Real Estate Assoc.,https://www.zillow.com/homedetails/21-Ohara-Dr-Houston-TX-77085/2081002233_zpid/
House for sale,,Houston,TX,77085,"$150,000","4 bds, 2.0 ba ,1570 sqft",Paul Grohman Real Estate,https://www.zillow.com/homedetails/14539-Polo-St-Houston-TX-77085/84007227_zpid/
Lot / Land for sale,,Houston,TX,77085,"$265,000","2 bds, None ba ,1024 sqft",RE/MAX Real Estate Assoc.,https://www.zillow.com/homedetails/5802-Brookfield-Dr-Houston-TX-77085/58668529_zpid/
Lot / Land for sale,,Houston,TX,77085,"$274,999","None bds, None ba ,None sqft",SWE Homes,https://www.zillow.com/homedetails/0-Daisyetta-St-Houston-TX-77085/2102104421_zpid/
Lot / Land for sale,,Houston,TX,77085,"$335,000","None bds, None ba ,None sqft",Century 21 Olympian Fine Homes,https://www.zillow.com/homedetails/0-W-Orem-Dr-Houston-TX-77085/2093985478_zpid/
