title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Houston,TX,77025,"$1,295,000","5 bds, 4.0 ba ,4298 sqft",Janie Miller Realty,https://www.zillow.com/homedetails/3642-Blue-Bonnet-Blvd-Houston-TX-77025/27902059_zpid/
House for sale,,Houston,TX,77025,"$1,750,000","5 bds, 7.0 ba ,5332 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/3502-Grennoch-Ln-Houston-TX-77025/27936557_zpid/
Townhouse for sale,,Houston,TX,77025,"$870,000","3 bds, 4.0 ba ,2887 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/3783-Bellaire-Blvd-Houston-TX-77025/123233982_zpid/
Townhouse for sale,,Houston,TX,77025,"$265,000","3 bds, 3.0 ba ,1714 sqft",Winhill Advisors - Kirby,https://www.zillow.com/homedetails/3713-Main-Poplar-Dr-Houston-TX-77025/245768332_zpid/
House for sale,,Houston,TX,77025,"$325,000","3 bds, 2.0 ba ,1824 sqft",Better Homes and Gardens Real Estate Gary Greene,https://www.zillow.com/homedetails/3403-Norris-Dr-Houston-TX-77025/27964280_zpid/
House for sale,,Houston,TX,77025,"$699,000","4 bds, 4.0 ba ,3472 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/4017-Mcdermed-Dr-Houston-TX-77025/27954799_zpid/
House for sale,,Houston,TX,77025,"$529,000","3 bds, 2.0 ba ,2049 sqft",New Leaf Real Estate,https://www.zillow.com/homedetails/3305-Durhill-St-Houston-TX-77025/27945430_zpid/
House for sale,,Houston,TX,77025,"$419,900","3 bds, 4.0 ba ,2453 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/9501-Pemberton-Crescent-Dr-Houston-TX-77025/89641519_zpid/
Townhouse for sale,,Houston,TX,77025,"$299,900","2 bds, 3.0 ba ,1513 sqft",Brockway Realty,https://www.zillow.com/homedetails/7415-Brompton-St-Houston-TX-77025/2079336392_zpid/
House for sale,,Houston,TX,77025,"$279,900","3 bds, 4.0 ba ,1734 sqft",Chasestone Realty,https://www.zillow.com/homedetails/3219-Clearview-Cir-Houston-TX-77025/89638691_zpid/
House for sale,,Houston,TX,77025,"$645,000","3 bds, 3.0 ba ,2012 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/3523-Aberdeen-Way-Houston-TX-77025/27936529_zpid/
House for sale,,Houston,TX,77025,"$395,000","3 bds, 2.0 ba ,2386 sqft",Greenwood King Properties,https://www.zillow.com/homedetails/9103-Timberside-Dr-Houston-TX-77025/27982046_zpid/
House for sale,,Houston,TX,77025,"$419,900","3 bds, 4.0 ba ,2426 sqft","Houston Southwest Realty, Inc.",https://www.zillow.com/homedetails/9617-Pemberton-Crescent-Dr-Houston-TX-77025/89635852_zpid/
House for sale,,Houston,TX,77025,"$419,000","3 bds, 3.0 ba ,1880 sqft",RE/MAX Southwest,https://www.zillow.com/homedetails/8018-Buffalo-Speedway-Houston-TX-77025/27958783_zpid/
Lot / Land for sale,,Houston,TX,77025,"$350,000","3 bds, None ba ,1649 sqft",HomeSmart Fine Properties,https://www.zillow.com/homedetails/2815-Conway-St-Houston-TX-77025/27978332_zpid/
Townhouse for sale,,Houston,TX,77025,"$410,000","3 bds, 3.0 ba ,2921 sqft","MIH REALTY, LLC",https://www.zillow.com/homedetails/4133-Meyerwood-Dr-Houston-TX-77025/28107654_zpid/
House for sale,,Houston,TX,77025,"$650,000","4 bds, 3.0 ba ,2597 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/3747-Gramercy-St-Houston-TX-77025/27901841_zpid/
House for sale,,Houston,TX,77025,"$425,000","3 bds, 4.0 ba ,2493 sqft",Sunterra Realty,https://www.zillow.com/homedetails/3106-Pemberton-Walk-Houston-TX-77025/89642182_zpid/
Townhouse for sale,,Houston,TX,77025,"$329,000","3 bds, 3.0 ba ,2143 sqft","Seamless Realty, LLC",https://www.zillow.com/homedetails/7477-Brompton-St-Houston-TX-77025/2079465802_zpid/
House for sale,,Houston,TX,77025,"$1,999,500","3 bds, 3.0 ba ,4044 sqft",Douglas Elliman,https://www.zillow.com/homedetails/3327-Underwood-St-Houston-TX-77025/27931198_zpid/
New construction,,Houston,TX,77025,"$1,795,000","4 bds, 5.0 ba ,5251 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/4034-Falkirk-Ln-Houston-TX-77025/28035631_zpid/
House for sale,,Houston,TX,77025,"$519,900","3 bds, 2.0 ba ,1821 sqft",Alex Tyson Properties,https://www.zillow.com/homedetails/3646-Deal-St-Houston-TX-77025/28000514_zpid/
House for sale,,Houston,TX,77025,"$525,000","3 bds, 3.0 ba ,2582 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/4043-Gramercy-St-Houston-TX-77025/80592025_zpid/
House for sale,,Houston,TX,77025,"$349,999","4 bds, 3.0 ba ,2572 sqft",Keller Williams Realty -SW,https://www.zillow.com/homedetails/4018-Silverwood-Dr-Houston-TX-77025/27981769_zpid/
House for sale,,Houston,TX,77025,"$310,000","3 bds, 3.0 ba ,2370 sqft",Abby Realty,https://www.zillow.com/homedetails/3572-Link-Valley-Dr-Houston-TX-77025/80532693_zpid/
New construction,,Houston,TX,77025,"$1,699,900","5 bds, 6.0 ba ,5001 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/4115-Turnberry-Cir-Houston-TX-77025/27905982_zpid/
Townhouse for sale,,Houston,TX,77025,"$188,000","1 bds, 2.0 ba ,1035 sqft",Homesource Investments Group,https://www.zillow.com/homedetails/3001-Murworth-Dr-UNIT-1504-Houston-TX-77025/80588274_zpid/
House for sale,,Houston,TX,77025,"$559,900","3 bds, 2.0 ba ,2305 sqft",5th Stream Realty,https://www.zillow.com/homedetails/7222-Prestwick-St-Houston-TX-77025/27905917_zpid/
House for sale,,Houston,TX,77025,"$960,000","5 bds, 4.0 ba ,4545 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/8418-Bluegate-St-Houston-TX-77025/27986265_zpid/
House for sale,,Houston,TX,77025,"$315,000","3 bds, 3.0 ba ,2497 sqft",Champions Real Estate Group,https://www.zillow.com/homedetails/3560-Link-Valley-Dr-Houston-TX-77025/80573392_zpid/
House for sale,,Houston,TX,77025,"$529,000","3 bds, 2.0 ba ,1874 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/8411-Bluegate-Ct-Houston-TX-77025/27986225_zpid/
House for sale,,Houston,TX,77025,"$525,000","3 bds, 2.0 ba ,1985 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/4051-Durness-Way-Houston-TX-77025/27983059_zpid/
Townhouse for sale,,Houston,TX,77025,"$110,000","2 bds, 2.0 ba ,1015 sqft","Annoura Realty Group, LLC",https://www.zillow.com/homedetails/2601-Bellefontaine-St-APT-A206-Houston-TX-77025/28325999_zpid/
House for sale,,Houston,TX,77025,"$290,000","2 bds, 2.0 ba ,1383 sqft",Redfin Corporation,https://www.zillow.com/homedetails/3103-Stanton-St-Houston-TX-77025/27958795_zpid/
Townhouse for sale,,Houston,TX,77025,"$399,500","2 bds, 3.0 ba ,1471 sqft",Douglas Elliman,https://www.zillow.com/homedetails/4031-Bellefontaine-St-103-Houston-TX-77025/2139438684_zpid/
House for sale,,Houston,TX,77025,"$1,799,000","5 bds, 6.0 ba ,5603 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/3749-Merrick-St-Houston-TX-77025/27902274_zpid/
House for sale,,Houston,TX,77025,"$429,900","3 bds, 4.0 ba ,2333 sqft",ULR Properties,https://www.zillow.com/homedetails/3131-Pemberton-Walk-Houston-TX-77025/97607379_zpid/
House for sale,,Houston,TX,77025,"$525,000","4 bds, 3.0 ba ,2959 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/3611-Timberside-Circle-Dr-Houston-TX-77025/52411341_zpid/
Lot / Land for sale,,Houston,TX,77025,"$350,000","3 bds, None ba ,2373 sqft",Douglas Elliman,https://www.zillow.com/homedetails/3815-S-Braeswood-Blvd-Houston-TX-77025/27958573_zpid/
House for sale,,Houston,TX,77025,"$539,000","3 bds, 2.0 ba ,2296 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/3803-Sun-Valley-Dr-Houston-TX-77025/28027277_zpid/
