title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Houston,TX,77027,"$1,925,000","5 bds, 6.0 ba ,5060 sqft",Mission Real Estate Group,https://www.zillow.com/homedetails/4722-Shetland-Ln-Houston-TX-77027/27960062_zpid/
Condo for sale,,Houston,TX,77027,"$535,000","2 bds, 2.0 ba ,1417 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/2211-Briarglen-Dr-APT-404-Houston-TX-77027/80598271_zpid/
House for sale,,Houston,TX,77027,"$724,500","3 bds, 2.0 ba ,1896 sqft",Greenwood King Properties,https://www.zillow.com/homedetails/4662-Merwin-St-Houston-TX-77027/27959991_zpid/
House for sale,,Houston,TX,77027,"$699,999","4 bds, 4.0 ba ,3283 sqft",Krueger Real Estate,https://www.zillow.com/homedetails/4734-Oakshire-Dr-Houston-TX-77027/122567160_zpid/
House for sale,,Houston,TX,77027,"$790,000","3 bds, 4.0 ba ,2305 sqft",Glesby Fine Properties,https://www.zillow.com/homedetails/2118-Briarglen-Dr-Houston-TX-77027/97639821_zpid/
Townhouse for sale,,Houston,TX,77027,"$699,900","3 bds, 4.0 ba ,3792 sqft",Greenwood King Properties,https://www.zillow.com/homedetails/10-S-Briar-Hollow-Ln-UNIT-3-Houston-TX-77027/28511598_zpid/
Townhouse for sale,,Houston,TX,77027,"$650,000","3 bds, 4.0 ba ,2017 sqft",Greenwood King Properties,https://www.zillow.com/homedetails/2158-Briarglen-Dr-Houston-TX-77027/97634028_zpid/
New construction,,Houston,TX,77027,"$2,499,000","5 bds, 6.0 ba ,5050 sqft",REALM Real Estate Professional,https://www.zillow.com/homedetails/4027-Sul-Ross-St-Houston-TX-77027/27928565_zpid/
Townhouse for sale,,Houston,TX,77027,"$565,000","3 bds, 4.0 ba ,2581 sqft",Greenwood King Properties,https://www.zillow.com/homedetails/2-River-Hollow-Ln-Houston-TX-77027/28156748_zpid/
House for sale,,Houston,TX,77027,"$1,950,000","5 bds, 6.0 ba ,5272 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/2014-Suffolk-Dr-Houston-TX-77027/27946308_zpid/
House for sale,,Houston,TX,77027,"$2,250,000","5 bds, 6.0 ba ,5582 sqft",Drayton Properties,https://www.zillow.com/homedetails/4711-Shetland-Ln-Houston-TX-77027/27960071_zpid/
