title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Houston,TX,77072,"$169,900","3 bds, 2.0 ba ,1575 sqft",Next Home Executives,https://www.zillow.com/homedetails/13114-Hill-Canyon-Ln-Houston-TX-77072/68423602_zpid/
House for sale,,Houston,TX,77072,"$179,999","3 bds, 2.0 ba ,1736 sqft","Coldwell Banker United,",https://www.zillow.com/homedetails/7611-Winter-Glen-Ln-Houston-TX-77072/28263058_zpid/
House for sale,,Houston,TX,77072,"$165,000","3 bds, 2.0 ba ,1464 sqft",Ashoka Lion,https://www.zillow.com/homedetails/11718-Sea-Shore-Dr-Houston-TX-77072/28133365_zpid/
House for sale,,Houston,TX,77072,"$140,000","3 bds, 2.0 ba ,1600 sqft",Keller Williams Premier Realty,https://www.zillow.com/homedetails/11911-Pompano-Ln-Houston-TX-77072/28116103_zpid/
House for sale,,Houston,TX,77072,"$155,000","3 bds, 2.0 ba ,1813 sqft",The Nguyens & Associates,https://www.zillow.com/homedetails/6135-Linnhaven-Dr-Houston-TX-77072/28314085_zpid/
Townhouse for sale,,Houston,TX,77072,"$119,000","2 bds, 2.0 ba ,1199 sqft",Champions Real Estate Group,https://www.zillow.com/homedetails/13034-Leader-St-UNIT-969-Houston-TX-77072/28315553_zpid/
Lot / Land for sale,,Houston,TX,77072,"$40,000","None bds, None ba ,None sqft",Compass Realty & Associates LL,https://www.zillow.com/homedetails/0-White-Cap-Ln-Houston-TX-77072/2084868858_zpid/
House for sale,,Houston,TX,77072,"$180,000","5 bds, 4.0 ba ,2130 sqft",Hardee & Company Real Estate,https://www.zillow.com/homedetails/7123-Longvine-Dr-Houston-TX-77072/28237010_zpid/
Townhouse for sale,,Houston,TX,77072,"$120,000","3 bds, 2.0 ba ,1264 sqft",Lyn Realty,https://www.zillow.com/homedetails/12618-Wellington-Park-Dr-Houston-TX-77072/28189040_zpid/
Townhouse for sale,,Houston,TX,77072,"$95,000","2 bds, 2.0 ba ,1104 sqft",B & W Realty Group LLC,https://www.zillow.com/homedetails/10555-Turtlewood-Ct-UNIT-2005-Houston-TX-77072/28393426_zpid/
Townhouse for sale,,Houston,TX,77072,"$225,800","2 bds, 2.0 ba ,1384 sqft",RE/MAX Fine Properties,https://www.zillow.com/homedetails/6611-W-Sam-Houston-Pkwy-S-UNIT-2B-Houston-TX-77072/80538072_zpid/
Townhouse for sale,,Houston,TX,77072,"$144,900","3 bds, 2.0 ba ,1550 sqft",Champions Real Estate Group,https://www.zillow.com/homedetails/7310-S-Dairy-Ashford-Rd-101-Houston-TX-77072/2079542927_zpid/
House for sale,,Houston,TX,77072,"$214,999","4 bds, 2.0 ba ,1832 sqft",Pin Property Group,https://www.zillow.com/homedetails/11622-Moonmist-Dr-Houston-TX-77072/28126342_zpid/
Auction,,Houston,TX,77072,,"2 bds, 3.0 ba ,1524 sqft",Auction.com,https://www.zillow.com/homedetails/7318-S-Dairy-Ashford-Rd-Houston-TX-77072/28202942_zpid/
House for sale,,Houston,TX,77072,"$199,000","4 bds, 2.0 ba ,1891 sqft",CORE Realty,https://www.zillow.com/homedetails/11635-Carvel-Ln-Houston-TX-77072/28115866_zpid/
Townhouse for sale,,Houston,TX,77072,"$80,000","2 bds, 2.0 ba ,1024 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/7895-Cook-Rd-Houston-TX-77072/28221323_zpid/
Townhouse for sale,,Houston,TX,77072,"$222,000","3 bds, 2.0 ba ,1372 sqft",Nova Realty Group,https://www.zillow.com/homedetails/6611-W-Sam-Houston-Pkwy-S-UNIT-1B-Houston-TX-77072/80530838_zpid/
Townhouse for sale,,Houston,TX,77072,"$119,500","3 bds, 3.0 ba ,1664 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/4122-Belle-Park-Dr-Houston-TX-77072/2079677969_zpid/
Townhouse for sale,,Houston,TX,77072,"$99,500","2 bds, 3.0 ba ,1426 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/4124-Belle-Park-Dr-Houston-TX-77072/2079678714_zpid/
Townhouse for sale,,Houston,TX,77072,"$110,000","1 bds, 1.0 ba ,834 sqft",ELSA Realty,https://www.zillow.com/homedetails/12952-Wirevine-Ln-Houston-TX-77072/28315607_zpid/
For sale by owner,,Houston,TX,77072,"$80,000","2 bds, 2.0 ba ,1024 sqft",,https://www.zillow.com/homedetails/7829-Cook-Rd-Houston-TX-77072/28221290_zpid/
House for sale,,Houston,TX,77072,"$157,500","3 bds, 2.0 ba ,1416 sqft",REALM Real Estate Professional,https://www.zillow.com/homedetails/12343-Wellington-Park-Dr-Houston-TX-77072/28189027_zpid/
House for sale,,Houston,TX,77072,"$197,500","4 bds, 2.0 ba ,1843 sqft",Texas Flagship Property,https://www.zillow.com/homedetails/7511-Universal-Dr-Houston-TX-77072/28127897_zpid/
Townhouse for sale,,Houston,TX,77072,"$145,000","3 bds, 3.0 ba ,1524 sqft",Greg Lacy and Associates,https://www.zillow.com/homedetails/12847-Carvel-Ln-Houston-TX-77072/28203042_zpid/
Lot / Land for sale,,Houston,TX,77072,"$380,000","None bds, None ba ,None sqft",Trini J & CommerXial RE,https://www.zillow.com/homedetails/6459-Cook-Rd-Houston-TX-77072/2080044740_zpid/
Condo for sale,,Houston,TX,77072,"$130,000","3 bds, 3.0 ba ,1584 sqft",NextHome Realty Center,https://www.zillow.com/homedetails/7238-Crownwest-St-Houston-TX-77072/2080086564_zpid/
Townhouse for sale,,Houston,TX,77072,"$119,500","2 bds, 2.0 ba ,1188 sqft",RE/MAX United,https://www.zillow.com/homedetails/13022-Leader-St-UNIT-958-Houston-TX-77072/28315542_zpid/
House for sale,,Houston,TX,77072,"$225,000","5 bds, 3.0 ba ,3010 sqft",V-Pro Realtors,https://www.zillow.com/homedetails/12931-Knotty-Glen-Ln-Houston-TX-77072/28260783_zpid/
