title,address,city,state,postal_code,price,facts and features,real estate provider,url
New construction,,Bellaire,TX,77401,"$2,550,000","6 bds, 7.0 ba ,1978 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/5209-Holly-St-Bellaire-TX-77401/27983242_zpid/
House for sale,,Bellaire,TX,77401,"$899,900","4 bds, 4.0 ba ,3934 sqft",KANAM REALTY GROUP,https://www.zillow.com/homedetails/4337-Wendell-St-Bellaire-TX-77401/27836308_zpid/
House for sale,,Bellaire,TX,77401,"$879,999","3 bds, 5.0 ba ,3413 sqft",Greenwood King Properties,https://www.zillow.com/homedetails/4533-Teas-St-Bellaire-TX-77401/27819036_zpid/
House for sale,,Bellaire,TX,77401,"$395,000","3 bds, 2.0 ba ,1659 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/801-Woodstock-St-Bellaire-TX-77401/27977688_zpid/
Lot / Land for sale,,Bellaire,TX,77401,"$523,000","0 bds, None ba ,1816 sqft",Better Homes and Gardens Real Estate Gary Greene,https://www.zillow.com/homedetails/5000-Maple-St-Bellaire-TX-77401/27954297_zpid/
House for sale,,Bellaire,TX,77401,"$1,500,000","5 bds, 5.0 ba ,5405 sqft",Elux Realty,https://www.zillow.com/homedetails/4512-Beech-St-Bellaire-TX-77401/84055628_zpid/
House for sale,,Bellaire,TX,77401,"$1,249,000","6 bds, 7.0 ba ,5391 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/8305-Will-Jordan-Pkwy-Bellaire-TX-77401/123115903_zpid/
House for sale,,Bellaire,TX,77401,"$899,000","4 bds, 4.0 ba ,3610 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/5110-Beech-St-Bellaire-TX-77401/27744886_zpid/
House for sale,,Bellaire,TX,77401,"$735,000","4 bds, 3.0 ba ,3089 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/4437-Effie-St-Bellaire-TX-77401/27836450_zpid/
House for sale,,Bellaire,TX,77401,"$1,350,000","3 bds, 4.0 ba ,3566 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/5110-Valerie-St-Bellaire-TX-77401/27877977_zpid/
House for sale,,Bellaire,TX,77401,"$1,050,000","6 bds, 5.0 ba ,5057 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/138-Beverly-Ln-Bellaire-TX-77401/27923630_zpid/
House for sale,,Bellaire,TX,77401,"$995,000","4 bds, 5.0 ba ,4733 sqft",Better Homes and Gardens Real Estate Gary Greene,https://www.zillow.com/homedetails/915-Mulberry-Ln-Bellaire-TX-77401/27906285_zpid/
Townhouse for sale,,Bellaire,TX,77401,"$350,000","3 bds, 3.0 ba ,1761 sqft",RE/MAX Integrity,https://www.zillow.com/homedetails/5242-Woodlawn-Pl-Bellaire-TX-77401/28191904_zpid/
