title,address,city,state,postal_code,price,facts and features,real estate provider,url
For sale by owner,,Sugar Land,TX,77479,"$195,000","3 bds, 2.0 ba ,1188 sqft",,https://www.zillow.com/homedetails/2810-Grants-Lake-Blvd-UNIT-105-Sugar-Land-TX-77479/27614934_zpid/
House for sale,,Sugar Land,TX,77479,"$218,500","3 bds, 2.0 ba ,1658 sqft",Realty Associates,https://www.zillow.com/homedetails/710-Avery-Dr-Sugar-Land-TX-77479/27608941_zpid/
House for sale,,Sugar Land,TX,77479,"$449,000","5 bds, 4.0 ba ,4268 sqft","Taylor Real Estate Group, Inc.",https://www.zillow.com/homedetails/30-Pebblestone-Walk-Sugar-Land-TX-77479/27599017_zpid/
House for sale,,Sugar Land,TX,77479,"$329,990","4 bds, 4.0 ba ,3013 sqft","MIH REALTY, LLC",https://www.zillow.com/homedetails/1210-Celeste-Ct-Sugar-Land-TX-77479/59757034_zpid/
Townhouse for sale,,Sugar Land,TX,77479,"$225,000","3 bds, 3.0 ba ,1435 sqft",Sugar Land Properties LLC,https://www.zillow.com/homedetails/2710-Grants-Lake-Blvd-UNIT-F5-Sugar-Land-TX-77479/59756014_zpid/
House for sale,,Sugar Land,TX,77479,"$215,000","4 bds, 3.0 ba ,2505 sqft","RE/MAX Northwest, REALTORS",https://www.zillow.com/homedetails/630-High-Meadows-Dr-Sugar-Land-TX-77479/27538081_zpid/
New construction,,Sugar Land,TX,77479,"$478,990+","4 bds, 4.0 ba ,3372 sqft",Taylor Morrison,https://www.zillow.com/community/avalon-at-riverstone-60s/2081017641_zpid/
House for sale,,Sugar Land,TX,77479,"$523,500","5 bds, 6.0 ba ,4293 sqft",eHomeHouston,https://www.zillow.com/homedetails/3931-Pebble-Heights-Ln-Sugar-Land-TX-77479/125574041_zpid/
New construction,,Sugar Land,TX,77479,"$482,990+","5 bds, 5.0 ba ,3699 sqft",Taylor Morrison,https://www.zillow.com/community/avalon-at-riverstone-60s/2081017643_zpid/
Townhouse for sale,,Sugar Land,TX,77479,"$253,000","2 bds, 2.0 ba ,997 sqft",Fidelity Realtors and Services,https://www.zillow.com/homedetails/4144-Greystone-Way-APT-604-Sugar-Land-TX-77479/27613845_zpid/
House for sale,,Sugar Land,TX,77479,"$456,900","4 bds, 4.0 ba ,3911 sqft","Great Wall Realty, LLC",https://www.zillow.com/homedetails/4819-Riverstone-Crossing-Dr-Sugar-Land-TX-77479/82705804_zpid/
House for sale,,Sugar Land,TX,77479,"$275,000","4 bds, 3.0 ba ,2215 sqft",Redfin Corporation,https://www.zillow.com/homedetails/7419-Timber-Ridge-Trl-Sugar-Land-TX-77479/27556964_zpid/
House for sale,,Sugar Land,TX,77479,"$533,000","5 bds, 4.0 ba ,3885 sqft",Redfin Corporation,https://www.zillow.com/homedetails/611-Dalton-Ln-Sugar-Land-TX-77479/117507764_zpid/
House for sale,,Sugar Land,TX,77479,"$270,000","4 bds, 3.0 ba ,2621 sqft",Grove Realty,https://www.zillow.com/homedetails/4103-High-Meadows-Ct-Sugar-Land-TX-77479/27568338_zpid/
