Neighborhood,Crime_Index
W Airport Blvd / Mclain Blvd,10
Missouri City Center,10
Texas Pky / Greendale Dr,8
Texas Pky / Scanlin Rd,9
Fifth Street,8
Fm 1092 Rd / Lexington Blvd,6
Hilton Head Dr / Turtle Creek Dr,7
Cartwright Rd / La Quinta Dr,5
Smada,4
Dewalt,5
Alvin Sugarland Rd / Austin Pky,2
Trammels,3
Hillcroft St / W Fuqua Dr,5
Blueridge Rd / W Fuqua Dr,3
W Fuqua Dr / Chimney Rock Rd,4
W Ridgecreek Dr / Corsair Rd,4
Park Manor St / Prairie Ridge Rd,9
Stafford City Center,8
S Main St / Ave E,6
Fm 1092 / S Main St,4
W Airport Blvd / S Kirkwood Rd,10
Town West,10
Route 90 Alt / Fm 1876,9
Burney Rd / Florence Rd,6
Burney Rd / W Airport Blvd,8
Four Corners,7
Pheasant Creek Dr / Old Richmond Rd,8
Route 90 Alt / Main St,10
Route 90 Alt / Addicks Howell Rd,5
Sugar Land City Center,4
Homeward Way / Elis Creek Blvd,3
Sugar Creek Blvd / Southwest Fwy,10
Herbert,6
Southwest Fwy / First Colony Blvd,4
Southwest Fwy / Sweetwater Blvd,9
First Colony,5
Sweetwater Blvd / Greystone Way,3
Oilfield Rd / Thompson Ferry Rd,2
Greatwood,5
Booth,2
